token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
Bermudan,[-0.140611556591466],[-0.1245487474463499],1.0,,0.0
Betty,[-0.0006813826039433],[-0.0650033501545017],1.0,,0.0
Bible,"[-0.1654960201703943, -0.1118363392306491]","[-0.1297305874312913, -3.1460723754869194e-05]",0.8286905754536705,1.0,0.0
Bill,[-0.0332255831453949],[-0.0085179868339398],1.0,,0.0
Bisexual,"[0.0995112443342804, 0.2756476616486907, 0.3568797474727034, 0.2874366276664659, 0.1235041345935314, 0.2307113113347441, 0.1436915015801787, 0.186871413141489, 0.2220040531828999, 0.1806454907637089, 0.2594481841661036, 0.228648773394525, 0.2762132087955251, 0.1612546010655933, 0.1319688619405497, 0.2444001799158286, 0.2073679268360138]","[0.1484680515146376, 0.125612629545102, 0.2620266008708761, 0.1707310406726983, 0.1058792294799166, 0.2022600125799058, 0.0754767078730743, 0.1156645976707584, 0.189428708460536, 0.1498967147905261, 0.1653679265916765, 0.1750645250641281, 0.1550796167271667, 0.068726638028452, 0.1445879458323696, 0.1226476153487228, 0.14556746944239]",0.9691298321101073,0.6442829294307316,0.09885430563616251
Black,"[0.1357289217994548, 0.3069703942164778, 0.078370289877057, 0.2503549621906131]","[0.0567301589094586, 0.4215376859884968, 0.113438320010574, 0.213061265105509]",0.9567752992591634,0.8779028346892745,0.13815833656058557
Blacks,"[0.3788618941325694, 0.4147163950838148, 0.4091961118392646, 0.0415345008586882]","[0.3661257271351001, 0.4407586464096542, 0.4333830722299662, -0.031709102160343]",0.9937438236922129,0.9980444503262809,0.10899000707563272
Blue,[-0.1981122201541438],[-0.1562545531674103],1.0,,0.0
Bolivian,[0.0423978770850226],[-0.0081369605958056],-1.0,,0.0
Book,[-0.2794625543901929],[-0.0965990071510591],1.0,,0.0
Brad,[-0.030798579682596],[0.0155033944077541],-1.0,,0.0
Brahmin,"[0.1667281491681933, 0.141565365367569, 0.2752729412168264]","[0.07374976824193, 0.0669542620367553, 0.1604254703008182]",0.9931257478310136,0.9936492774493106,0.04396742372003458
Brahmins,"[0.3099263776093721, 0.3868135809898376]","[0.0846582887105913, 0.3367446698814396]",0.9093021599458307,1.0,0.1861780761355797
Brazil,[-0.0800515739247202],[-0.004025602532896],1.0,,0.0
Brazilian,"[0.1198324533179402, -0.019683925434947, 0.0093292375095188, -0.0112717766314744]","[0.0571667536540806, -0.01331038673784, 0.0817994274057987, 0.0631771528930158]",0.4927201498884032,0.312448518291804,0.3731249021962369
Britain,[-0.0725003748666495],[0.0042464855313748],-1.0,,0.0
British,"[-0.0060222228639759, -0.0508061575819738, 0.0235607876675203, 0.0452800701605156]","[-0.0169213694324815, -0.0279276637241449, -0.0735206509180254, 0.0251400093093985]",0.1521790384632586,0.23865679007137328,0.44915036258992086
Bucharest,[-0.0359320424031466],[0.1327118815278929],-1.0,,0.0
Buddhist,[0.0517206682125106],[0.0115422665440169],1.0,,0.0
Burr,[0.1097823788877576],[-0.0273645849523385],-1.0,,0.0
But,"[-0.0796108016220387, -0.0270946644013747, -0.0444855989189818, -0.078540903123212, -0.0961792653033626]","[-0.0018539301172965, -0.0251280808786736, -0.0435943360957274, -0.0256832065971562, -0.0657927515543213]",0.8190170970983559,0.20312655047841388,0.3002456928636309
CDs,[-0.0298866482917219],[-0.2886794063522953],1.0,,0.0
CEO,"[-0.0054925894364714, 0.0823489953763783]","[-0.0109950114390157, 0.0375167837621365]",0.9762267609194569,1.0,0.0
Ca,[-0.0522124123526737],[-0.0199883900889715],1.0,,0.0
Cameroon,"[0.0146587366471067, 0.0609571258537471, -0.0145108818542212]","[-0.0140334497263877, 0.0446992706679704, -0.0584816410812041]",0.6983694141001825,0.9987232520310553,0.017387735303391175
Cameroonian,"[-0.0169771881774067, 0.2866184156155213, -0.0880809001391753, 0.1664606712292879, 0.2304217386990785, 0.0859652180224657, 0.3468704323749989, 0.2627535881474614]","[0.0279867819670166, 0.1006306320867188, -0.1315667768966567, -0.000462752773689, 0.1796801882216155, 0.1169528264375142, 0.0988250407209883, 0.1319073713140791]",0.8301902735306254,0.7308848664745468,0.14703083087697963
Cameroonians,"[0.02519831029349, -0.0258188392035663, 0.1146871717646718, -0.0227187431883066]","[0.0495438921194267, 0.0319454806780174, 0.1220506815755677, -0.0192703629616529]",0.8870556296189205,0.9266211683112777,0.28277438998401017
Cape,"[0.0082783171150367, -0.0234447020338848, -0.0259386636316776]","[0.0403172520852092, 0.0403172520852092, -0.0357578362621981]",0.13069373902794296,0.5555417600120724,0.3549023443806709
Carl,[0.0190847874619066],[0.0309289296101988],1.0,,0.0
Carrie,[-0.0304279858246445],[-0.0100240144422878],1.0,,0.0
Catholics,"[0.0674174281302839, 0.1331232746597379]","[0.0448684028595248, 0.0742052111569329]",0.9971845774148664,1.0,0.030000651631235668
Chadian,[0.3614985460881144],[0.3019381176037997],1.0,,0.0
Chen,[0.1132680792361497],[0.0559065311701801],1.0,,0.0
Cheryl,[-0.0408114755991846],[-0.0074886348416354],1.0,,0.0
Chess,[-0.0219660237198695],[0.0385027097194304],-1.0,,0.0
Chile,[0.0074989424902014],[0.0099306806456876],1.0,,0.0
Chilean,[-0.016088850214146],[0.0394569044611834],-1.0,,0.0
Chin,[-0.0734571794746443],[-0.0051772546537956],1.0,,0.0
China,[-0.0290489607141353],[-0.0280503875722378],1.0,,0.0
Chinese,"[0.1018205251311883, 0.1768416616687318, 0.2106947264401242, 0.1332368981093168, 0.0909506035095546]","[0.0643675685288262, 0.0147136049126493, 0.0114352515159442, 0.010172782813319, 0.0026903346546167]",0.5798015717846691,-0.3163187117757393,0.36797117925122047
Chloe,[-0.0515002470929175],[-0.033173732950953],1.0,,0.0
Chong,[0.0973329693078994],[0.095138491282352],1.0,,0.0
Christian,"[-0.1224304008646868, -0.2187372620683163, 0.0358995589194819, 0.0544523147400468, 0.0218292998615652, -0.105999679188244, -0.1098381894407793, 0.0312762244138866]","[-0.021238804258956, -0.2703565254916004, 0.2597082483215787, 0.0839446335827603, 0.0307326042510915, -0.1811889023796327, -0.0208176237880756, 0.0675967179754644]",0.7627353437206426,0.8482799004148888,0.11254184969613248
Christians,"[-0.0014869675505906, -0.0810974275227636]","[-0.0109747917402556, -0.0868079747658288]",0.9942354418825782,1.0,0.0
Churches,[-0.0466142659424804],[-0.0356518374924612],1.0,,0.0
City,[-0.0097344099776819],[0.0045093333160053],-1.0,,0.0
Colombian,[0.0865788720548152],[-0.1233005764695494],-1.0,,0.0
Compared,[-0.0075832797447219],[0.0027303721175971],-1.0,,0.0
Composers,[0.0499915350519586],[0.0297806198054718],1.0,,0.0
Congolese,"[0.2311438103206455, 0.1162523654056713, 0.0610479654278606, -0.0401256865588948]","[0.0852765575061217, 0.0997481070553324, 0.009050590911218, -0.0318538123864978]",0.9106973875019191,0.8576220872089453,0.11647665679831593
Constitution,[-0.0976142701110802],[0.0091419438693973],-1.0,,0.0
Country,[-0.0400974383956054],[0.0103199218693822],-1.0,,0.0
Crusades,[-0.0321943156886845],[0.0207068217777421],-1.0,,0.0
Daddy,[0.1330301621928811],[0.0523067370917173],1.0,,0.0
Daddys,[0.0753741554217413],[0.024482586094121],1.0,,0.0
David,[-0.0572334620082983],[-0.0297680916983821],1.0,,0.0
DeAndre,[0.0202270391455385],[0.0851719202039932],1.0,,0.0
Despite,[-0.0645220834558131],[0.0064622360807053],-1.0,,0.0
Detectives,[0.1342637208290398],[0.1166487158175219],1.0,,0.0
Did,[-0.1205253225052729],[0.0272379530706831],-1.0,,0.0
Dinosaurs,[-0.1100401422154391],[-0.0217895741311509],1.0,,0.0
Doctors,[0.1267405728431185],[0.193157239824406],1.0,,0.0
Dogs,[-0.0455766375598614],[-0.0051567269779175],1.0,,0.0
Don,[-0.0391001682728529],[-0.0392664946125497],1.0,,0.0
Drew,[0.0049264694680459],[0.02481764796721],1.0,,0.0
Dutch,[-0.0432877672137692],[-0.0608449504734453],1.0,,0.0
East,"[0.0650605862028896, 0.0279611919540911, 0.1675786031410098]","[-0.0648746258083636, -0.0013379529640527, 0.0359706825162189]",0.1311156679238357,0.5961935286592895,0.358607890570508
Eastern,[0.0361263379454612],[0.0379749312902884],1.0,,0.0
Egypt,[0.1301333259325474],[0.1354031592505248],1.0,,0.0
English,"[0.0495766634121537, 0.0170432450249791]","[0.0129378662878595, 0.0929420040441424]",0.4523813598741901,-1.0,0.4628506680137839
Englishman,"[0.0778600731864571, 0.0918741561472415]","[0.0579305289971891, -0.0043795382744585]",0.5871745394314418,-1.0,0.4889050572598698
Entrepreneurs,[0.1180664577987045],[0.058756673266598],1.0,,0.0
Equatorial,[0.0336448732996359],[0.0645875643885049],1.0,,0.0
Eriteria,[-0.0798419793136417],[0.1086578840379507],-1.0,,0.0
Eritreans,[0.1937155863270163],[0.2001599435881413],1.0,,0.0
Ethan,[-0.1058379028108902],[-0.0820460846246443],1.0,,0.0
Ethiopia,"[0.0498840019572526, -0.0566941727884113]","[0.0778417867992984, 0.1316213746554086]",-0.3099426403664866,-1.0,0.5408352027526753
Ethiopian,"[-0.0033411654876545, 0.0508530265069566, 0.0028268662281334, 0.0129027931252494, 0.1198536143638193, 0.037227650405839, 0.2732826168648898]","[0.0347592847706812, 0.0221218470707229, -0.0492806494936062, -0.0837872793360838, -0.009397588068929, 0.0188027044323309, 0.0645756951951427]",0.4438275560010995,0.5658424336439971,0.3722671271688578
Ethiopians,[-0.0787261528894305],[0.1513454734265019],-1.0,,0.0
Eto,[0.1059579674620181],[0.0165413853168708],1.0,,0.0
Europe,"[-0.1170156977605074, -0.0600585792562924, -0.0764906201511621]","[-0.0656954791190466, 0.0176993853615497, -0.0071878804981646]",0.6891791620193867,0.9999411691004356,0.002447118566671949
Even,[-0.0325498277088627],[-0.0230632236324791],1.0,,0.0
Every,"[-0.1004996846895664, -0.0318096093833446, 0.0920514170429669]","[-0.0702170814371666, -0.0855727167964746, 0.0526003337898775]",0.8524499234862769,0.8955129700951667,0.3603483480636574
Everyone,"[0.059113697905559, 0.0482573993504047, 0.0875305645749904, 0.1320071243681013, -0.0475137797184288]","[0.0122550189299854, -0.0508050880453255, -0.0031743197874307, 0.1064828325094012, -0.0417214706097639]",0.612630118273032,0.7674062694937265,0.30639278584360735
Fantasy,[-0.1560841410973807],[-0.0272817625264198],1.0,,0.0
Farsi,[0.0996116097812773],[-0.0227170469300226],-1.0,,0.0
Fathers,[0.1093543674942338],[0.0718802975048445],1.0,,0.0
Females,[-0.1242873688461259],[-0.1207566133369937],1.0,,0.0
Feng,[0.0286051463335752],[-0.0025136313272711],-1.0,,0.0
Finland,[-0.0122274982277303],[0.0110107915288816],-1.0,,0.0
Finnish,"[0.0100460263347486, 0.0557515223626978]","[-0.0144775058201519, -0.0436308551394034]",-0.9899198588764618,-1.0,0.683944525100606
Finns,[0.0271914941258728],[0.0496306422826145],1.0,,0.0
Fish,[-0.0681834596616681],[-0.0149693165071832],1.0,,0.0
Florida,[-0.0081221216241829],[-0.0445776562093676],1.0,,0.0
France,[0.0171029396005906],[0.0283495694066614],1.0,,0.0
French,"[-0.0053783369949087, 0.3488300768658519, -0.0534513865131884, -0.0374033731641247]","[-0.0373749395210906, 0.2495944847478539, 0.0454851645448799, -0.0106317971757135]",0.9356573801105459,0.9331150431795222,0.337500589965922
Friday,"[-0.0488716677064076, -0.0651187367038801, -0.0952298110933043]","[0.0305899533011601, -0.0187253639388206, -0.0076686579559599]",0.09894456659197065,0.6138490483030635,0.4558112403869912
Gary,[-0.0234335989225655],[-0.0098500894540038],1.0,,0.0
Gay,"[0.1655736527172848, 0.1327354479581117, 0.424145775847137, 0.2269855567719787, 0.1835478693246841, 0.1709195226430893, 0.1408601698931306, 0.2931882368866354, 0.1775807995581999, 0.2064863562118262, 0.1348010424990207, 0.1814390941872261, 0.2197122948709875, 0.3179337277542799, 0.2584564725402742, 0.2800619604531675, 0.2735834829509258, 0.2544548595324158, 0.3022339381277561, 0.3461107686161995, 0.1149750929325819, 0.0599632496014237, 0.1103965344373136, 0.2914212995674461, 0.2425505763676483, 0.1593817456741817, 0.2528371633961797, 0.2424321533180773, 0.2631985247135162, 0.2278116996749304, 0.1964655140545801, 0.0677741549152415]","[0.0936890160629221, 0.0115800473009134, 0.1675115747270399, 0.0473795452425696, -0.0239407801414523, 0.1119296005572369, 0.172602182752881, 0.125803362572091, 0.1014622639474457, 0.1314292416300048, 0.0742344477975092, 0.0612378479262351, 0.1344487971195277, 0.1903765173876146, 0.1344278682407787, 0.3030728303775954, 0.1799669130586445, 0.1105453067477421, 0.0904984233000775, 0.3194246545684542, 0.0890112566684208, -0.0540044138797688, -0.0210453302422559, 0.2230456864358034, 0.0370010234808248, 0.0392634603347935, 0.1323045736839854, 0.2289521382022353, 0.1591105192846043, 0.1056341362755869, 0.1166313102643879, -0.0362362270435077]",0.8884104791336717,0.7033793333161086,0.14579090159009958
Gentlemen,"[-0.0187814276432618, -0.0226725318934768]","[0.0008003260072723, 0.1267468245782831]",-0.7741074096156306,-1.0,0.8210296392060528
Germany,[-0.0377187453996157],[-0.0098282678836002],1.0,,0.0
Ghanaian,[0.1276681766612455],[0.0528994201480846],1.0,,0.0
Ghanaians,[-0.0707540890434756],[-0.0927689378238131],1.0,,0.0
God,"[0.0743713192641735, -0.0618355232290923, -0.0907516358420252]","[0.0139865159469199, -0.0483526822517179, -0.1015142790577629]",0.8812007224467825,0.951398614942922,0.14039208017111682
Greece,"[-0.0429216735064983, -0.0321161433239467]","[-0.0197012259024223, -0.0269752595662435]",0.9560389263104971,-1.0,0.8325546111576977
Greeks,[0.2248771404847502],[0.1561750180497055],1.0,,0.0
Greg,[-0.0353083413559943],[0.0235311944559337],-1.0,,0.0
Growing,[-0.0066114265064243],[-0.0172628654826308],1.0,,0.0
Guinean,"[0.0604182622628286, -0.0378839145414531, -0.0860119521385058]","[0.0261590391530924, -0.1245139009885626, -0.0514310249894004]",0.6992191596378289,0.6714578633580235,0.44724855021820425
Have,[-0.1036098165786825],[-0.02234294169452],1.0,,0.0
He,"[0.0304496530443429, -0.0063754399307072, 0.056341350544244, 0.1478662206791341, 0.0510885033290833, 0.0080259615788236, 0.1090702363289892, 0.1729182968847453, 0.0650113425799645, 0.0079423813149333, 0.0562251191586256, 0.0559249934740364, 0.0728792715817689, 0.0903945471072802, 0.1047623255290091, 0.0611929317383328, 0.1101100364467129, -0.058245557360351, 0.1443623206578195, 0.079959494061768, 0.0873223718372173, 0.0656742298742756, 0.091191093204543, 0.0218126741237938, 0.1160767503897659, 0.0447569870739243, 0.1129799096961505, 0.0442468700930476, 0.1683512525632977, 0.0126911434344947, 0.0301166477147489, 0.046314145438373, 0.0765865152934566, 0.0474478106189053, 0.0665546270320192, 0.0875094108050689, 0.1040481254458427, 0.3057282787049189, 0.0829813517048023, 0.0641049109399318, 0.0924107741448097, 0.0297896158881485, 0.0878066640580073, 0.1067524371901527, 0.0540714494418352, -0.0351461127866059, 0.0179736979771405, 0.1541538952151313, 0.0906410987954586, 0.1715312353335321, 0.1392242714064195, -0.0028719413094222, 0.3010814120643772, 0.1356684247730299, 0.0835706791840493, 0.0325805484026204, 0.0987419812008738, 0.1042378385027404, 0.0460528028197586, 0.0694851216394454, 0.1708608724875375, 0.1289560912409797, 0.0994706200435757, 0.0895747562171891, 0.0237039737403392, 0.069408003706485, 0.1889894983614795, 0.0514529100037179, 0.0944816520204767, 0.0372431834693998, 0.0337470055092126, 0.1393511016503907, 0.0638905297819292, 0.1370197764481417, 0.026496885358938, -0.029257413058076, 0.1984374227467924, 0.0869134319946169, 0.1385836352128535, 0.0513637294934596, 0.0299414984765462, 0.135468396852957, 0.0128678224864415, 0.1125309484923491, 0.064811177435331, 0.1092040137154981, 0.0926188734010793, 0.0875124018639326, -0.0008032373152673, -0.0605450857256073, -0.0153751228936016]","[0.0122079610019367, 0.0625614842357086, 0.0625614842357086, 0.1132358601344639, -0.0232187320004127, 0.0367155240444521, 0.0804178013285415, 0.1138120060876131, 0.0660972903404529, 0.1038854144097028, 0.0392653332061604, 0.1314477355379247, 0.1314477355379247, 0.0723350390382492, 0.1318059827129143, 0.0604884276126877, 0.0659208783153019, 0.0012268974429641, 0.0414863667977939, 0.0202557345224191, 0.1015687408218082, 0.0863730845429143, 0.0931342506839524, 0.0407168162489576, 0.1601897871722614, 0.026269780983861, 0.0727711913982806, 0.0906196696611496, 0.2369084992749126, 0.061540460584068, -0.0404464422315238, 0.0282683845234395, 0.0852699156905602, 0.1293453248157466, 0.085691893088008, 0.1454931900702612, 0.164709053810909, 0.2449400674747602, 0.0437760187024197, 0.0124108211574091, 0.0928214958695013, 0.0040822943584104, 0.0412579924824186, 0.0727184967224848, 0.0823521943372218, -0.0149697636232302, -0.0015409858303128, 0.0753415307109455, 0.1387579601498229, 0.1963236678971568, 0.0634739507813005, -0.0230748747487723, 0.2127890950368274, 0.049935798559652, 0.1153618247441348, 0.0133441887109837, 0.0347831550489994, 0.2568889728638641, 0.0057994252250849, -0.0106127854900085, 0.0566804441377428, 0.1723646362852881, 0.0028128166196141, 0.0504072702052934, 0.0243971305144073, 0.0648651646959637, 0.1518797772256695, 0.0899882389210709, 0.0856587723037571, 0.0416296051890675, 0.069999286101327, 0.0655551504722832, 0.029718676717341, 0.0466347783795464, 0.0805837092583801, -0.0229732778757238, 0.1428813911625435, 0.0411783043380866, 0.0552997373643869, 0.0821218621488008, -0.0077856187387553, 0.1186076636855309, -0.0147057180661121, 0.0514522486934133, 0.1024144345046318, 0.1039049369324409, 0.0690144864160806, 0.0646419948460988, 0.0023976100293716, -0.0110632384490008, 0.0801372479198239]",0.8567728575587901,0.6487269764719569,0.16320015404989943
Her,"[0.0230662811081856, 0.0598943796940147, 0.0072159292176365, -0.0065977075719274, 0.0034969761036336]","[-0.0116898477325793, 0.0560987820166291, -0.028549985850952, -0.0110668618639022, 0.0528178644978153]",0.5771608322635635,0.5156154224220674,0.3912014420436068
Here,[-0.0002725021913647],[-0.0092731599357559],1.0,,0.0
Hindu,"[0.0086050297832116, 0.116828145342879, 0.1565284258686006, 0.2127883190987631, 0.1560778694692999, 0.2366246182937175, 0.0995776057243347, 0.2128617832786403]","[-0.0783997027775137, 0.0259623286337948, 0.0953844955296542, 0.2401263988411835, 0.089407172034937, 0.0998563007675154, 0.0829895649853422, 0.1953892516396078]",0.9007207827800268,0.8497233166405804,0.10169022450737487
His,"[0.0566462642746046, 0.1095782709890045, 0.074646912747994, -0.0122026954777538, 0.0494216105435043, 0.1159287345944903, -0.0417328746989369, 0.0068560517975129, 0.0992769041913561, -0.005591953289695]","[0.0604756791316039, 0.0698065020705555, 0.0597779248950792, 0.0060903720618784, -0.0244815531553969, 0.0522057656198791, -0.0447151497612, 0.0229248717150486, 0.1324593789378303, -0.0155486708095988]",0.8538346112194903,0.7889845324021294,0.15368106450630892
Hispanic,"[0.0360583280562423, 0.0221648840233683]","[-0.0159356917124302, 0.0801622931126141]",0.34751559259907616,-1.0,0.5353738097169812
Honduran,"[0.0556565651204437, 0.1506510827457532]","[0.0238759417658431, -0.0204402404540542]",-0.34678243776340034,-1.0,0.603975148000332
However,[-0.3328378666192293],[-0.1317023709669215],1.0,,0.0
